,Unnamed: 0,Block,Lot,Building_Class,Tax_Class,Building_Count,DOF_Gross_Square_Footage,Address,BoroughName,BBL,ENERGY STAR Score,LetterScore,latitude,longitude,NTA
12392,15973,5192,1,D4,2,4,197569,44-65 KISSENA BOULEVARD,QUEENS,-2147483648,43,D,40.752628,-73.820739,Flushing
12393,15974,5192,7504,R0,2,1,31009,140-32 CHERRY AVENUE,QUEENS,-2147483648,90,A,40.754352,-73.821624,Flushing
12394,15975,5195,18,C1,2,1,41405,43-17 BOWNE STREET,QUEENS,-2147483648,32,D,40.755228,-73.819686,Flushing
12395,15977,1118,2,D8,2,1,333280,461 DEAN STREET,BROOKLYN,-2147483648,46,D,40.681884,-73.975487,Prospect Heights
12396,15978,2658,26,C1,2,1,57927,99 SUTTON STREET,BROOKLYN,-2147483648,65,C,40.726564,-73.940963,Greenpoint
12397,15979,1131,7501,RM,0,2,60626,769 DEAN STREET,BROOKLYN,-2147483648,100,A,40.679773,-73.964541,Prospect Heights
12398,15980,1132,7503,R0,2,1,36885,904 PACIFIC STREET,BROOKLYN,-2147483648,24,D,40.679852,-73.963635,Crown Heights
12399,15981,6008,1,D1,2,1,53000,8215 4 AVENUE,BROOKLYN,-2147483648,97,A,40.625093,-74.027033,Bayridge
12400,15983,6864,37,K2,4,1,34000,2402 86 STREET,BROOKLYN,-2147483648,33,D,40.598802,-73.989228,Gravesend
12401,15984,6013,1,W1,0,6,286000,8301 SHORE ROAD,BROOKLYN,-2147483648,16,D,40.627236,-74.039738,Bayridge
12402,15985,5287,20,D6,2,1,87978,36-14 165 STREET,QUEENS,-2147483648,35,D,40.762492,-73.801151,Flushing
12403,15986,5307,24,D1,2,1,96881,189-14 CROCHERON AVENUE,QUEENS,-2147483648,60,C,40.762993,-73.792796,Flushing
12404,15987,6017,38,D1,2,1,45588,8300 4 AVENUE,BROOKLYN,-2147483648,49,D,40.624925,-74.027694,Bayridge
12405,15988,6018,1,H3,4,1,42410,8315 4 AVENUE,BROOKLYN,-2147483648,0,F,40.624365,-74.027344,Bayridge
12406,15990,6019,41,C1,2,1,31080,8302 6 AVENUE,BROOKLYN,-2147483648,45,D,40.62202,-74.022921,Bayridge
12407,15991,6021,46,D1,2,1,26000,915 84 STREET,BROOKLYN,-2147483648,27,D,40.619779,-74.020035,Dyker Heights
12408,15992,1145,21,E1,0,1,29898,664 BERGEN STREET,BROOKLYN,-2147483648,0,F,40.679097,-73.967195,Prospect Heights
12409,15993,6025,32,C1,2,1,36000,8402 4 AVENUE,BROOKLYN,-2147483648,40,D,40.624213,-74.02813,Bayridge
12410,15994,2698,32,D3,2,1,42449,55 ECKFORD STREET,BROOKLYN,-2147483648,0,F,40.721851,-73.948353,Greenpoint
12411,15995,5374,23,D4,2,1,54491,144-44 SANFORD AVENUE,QUEENS,-2147483648,41,D,40.759036,-73.819087,Flushing
12412,15996,5374,27,D4,2,4,173358,144-54 SANFORD AVENUE,QUEENS,-2147483648,77,B,40.75913,-73.818789,Flushing
12413,15997,5374,38,D4,2,1,106117,144-76 SANFORD AVENUE,QUEENS,-2147483648,65,C,40.759176,-73.817885,Flushing
12414,15999,6027,45,C7,2,1,51000,565 85 STREET,BROOKLYN,-2147483648,40,D,40.621226,-74.023938,Bayridge
12415,16000,2714,7502,R0,2,1,34660,100 ENGERT AVENUE,BROOKLYN,-2147483648,86,A,40.721321,-73.94747,Greenpoint
12416,16001,2719,7501,R0,2,1,29024,450 MANHATTAN AVENUE,BROOKLYN,-2147483648,99,A,40.72001,-73.947191,Greenpoint
12417,16002,6034,1,C7,2,1,36329,8517 3 AVENUE,BROOKLYN,-2147483648,0,F,40.623812,-74.030751,Bayridge
12418,16003,6034,7,C7,0,2,36329,310 85 STREET,BROOKLYN,-2147483648,3,D,40.624165,-74.030437,Bayridge
12419,16005,6888,1,D1,2,1,37000,2315 CROPSEY AVENUE,BROOKLYN,-2147483648,57,C,40.59553,-73.996051,Gravesend
12420,16006,6888,6,D4,2,1,42840,8835 23 AVENUE,BROOKLYN,-2147483648,15,D,40.595678,-73.996247,Gravesend
12421,16007,6037,77,D1,2,1,61632,675 86 STREET,BROOKLYN,-2147483648,65,C,40.61942,-74.022432,Bayridge
12422,16008,1158,61,D4,2,1,60450,225 PARK PLACE,BROOKLYN,-2147483648,1,D,40.77463,-73.749668,Douglaston
12423,16010,2736,1,D6,2,1,119598,544 UNION AVENUE,BROOKLYN,-2147483648,43,D,40.716796,-73.951889,Williamsburg
12424,16013,2749,7504,R0,2,1,28980,139 SKILLMAN AVENUE,BROOKLYN,-2147483648,96,A,40.716074,-73.945625,Williamsburg
12425,16014,6058,1,D1,2,1,186000,8801 SHORE ROAD,BROOKLYN,-2147483648,37,D,40.62342,-74.04064,Fort Hamilton
12426,16015,6058,12,D4,2,1,62738,8901 SHORE ROAD,BROOKLYN,-2147483648,2,D,error,error,error
12427,16016,6911,6,D1,2,1,75586,2629 CROPSEY AVENUE,BROOKLYN,-2147483648,85,A,40.589759,-73.990419,Gravesend
12428,16018,6065,43,O5,0,1,59880,415 89 STREET,BROOKLYN,-2147483648,12,D,40.62024,-74.028522,Fort Hamilton
12429,16019,2771,1,D7,2,1,25132,310 GRAHAM AVENUE,BROOKLYN,-2147483648,0,F,40.606372,-74.170359,Bull's Head
12430,16020,1167,7501,R0,2,1,50018,475 STERLING PLACE,BROOKLYN,-2147483648,35,D,40.67452,-73.962333,Crown Heights
12431,16021,2773,8,D7,2,1,26371,400 UNION AVENUE,BROOKLYN,-2147483648,38,D,40.712267,-73.951167,Williamsburg
12432,16023,6078,31,D4,2,1,61026,8901 NARROWS AVENUE,BROOKLYN,-2147483648,73,B,40.623076,-74.039873,Fort Hamilton
12433,16024,1172,7502,R0,2,1,170573,1 GRAND ARMY PLAZA,BROOKLYN,-2147483648,48,D,40.673564,-73.968551,Prospect Heights
12434,16025,1173,67,C1,2,1,26576,403 ST JOHNS PLACE,BROOKLYN,-2147483648,91,A,40.674099,-73.964543,Prospect Heights
12435,16026,5446,18,W1,0,1,31228,167-02 45 AVENUE,QUEENS,-2147483648,72,B,error,error,error
12436,16027,6083,1,D1,2,1,208634,9101 SHORE ROAD,BROOKLYN,-2147483648,70,B,error,error,error
12437,16028,2790,7504,R0,2,1,82920,774 GRAND STREET,BROOKLYN,-2147483648,94,A,40.7117,-73.941959,Williamsburg
12438,16029,6083,38,D1,2,1,31913,9102 COLONIAL ROAD,BROOKLYN,-2147483648,72,B,40.621178,-74.038216,Fort Hamilton
12439,16030,6083,41,D1,2,1,66800,9108 COLONIAL ROAD,BROOKLYN,-2147483648,72,B,40.620988,-74.038129,Fort Hamilton
12440,16031,6083,52,D1,2,1,45756,55 92 STREET,BROOKLYN,-2147483648,89,A,40.620893,-74.03894,Fort Hamilton
12441,16032,6084,1,D1,2,1,36000,9115 COLONIAL ROAD,BROOKLYN,-2147483648,81,B,40.620724,-74.037784,Fort Hamilton
12442,16033,6928,44,D1,2,1,89448,275 BAY 37 STREET,BROOKLYN,-2147483648,55,C,40.59316,-73.994638,Gravesend
12443,16034,6085,1,D1,2,1,37200,9115 RIDGE BOULEVARD,BROOKLYN,-2147483648,70,B,40.620112,-74.03507,Fort Hamilton
12444,16035,1175,93,D1,2,1,55274,555 ST JOHNS PLACE,BROOKLYN,-2147483648,63,C,40.673052,-73.959635,Crown Heights
12445,16036,1176,5,C1,2,1,28620,326 ST JOHNS PLACE,BROOKLYN,-2147483648,54,D,40.674084,-73.966628,Prospect Heights
12446,16037,6935,1,D4,2,1,188768,2650 CROPSEY AVENUE,BROOKLYN,-2147483648,34,D,40.588418,-73.991012,Gravesend
12447,16039,6086,33,D1,2,1,44880,354 91 STREET,BROOKLYN,-2147483648,76,B,40.619375,-74.030853,Fort Hamilton
12448,16040,6086,45,D7,2,1,100841,9106 4 AVENUE,BROOKLYN,-2147483648,51,D,40.618876,-74.030162,Fort Hamilton
12449,16042,1178,7502,R0,2,1,26461,823 CLASSON AVENUE,BROOKLYN,-2147483648,33,D,40.672545,-73.960765,Crown Heights
12450,16043,2907,7501,R0,2,1,103921,94 MASPETH AVENUE,BROOKLYN,-2147483648,67,C,40.715811,-73.939413,Williamsburg
12451,16046,2929,1,E1,4,1,43000,1245 GRAND STREET,BROOKLYN,-2147483648,0,F,40.716088,-73.928594,Williamsburg
12452,16047,2929,57,F5,4,1,30812,1181 GRAND STREET,BROOKLYN,-2147483648,0,F,40.715229,-73.928788,Williamsburg
12453,16048,2953,1,E1,4,1,113000,1300 METROPOLITAN AVENUE,BROOKLYN,-2147483648,36,D,40.713787,-73.92482,Williamsburg
12454,16050,6099,10,D1,2,1,44262,9229 SHORE ROAD,BROOKLYN,-2147483648,95,A,40.619995,-74.040114,Fort Hamilton
